Country Name,Year,Population
United Arab Emirates,1961.0,55705.0
United Arab Emirates,1961.0,11.2460906958561
United Arab Emirates,1961.0,12.1061376075059
United Arab Emirates,1961.0,29640.0
United Arab Emirates,1961.0,17.4872947615324
United Arab Emirates,1961.0,6.494
United Arab Emirates,1961.0,149.3
United Arab Emirates,1961.0,241.119
United Arab Emirates,1961.0,0.403635652853792
United Arab Emirates,1961.0,0.911845191555903
United Arab Emirates,1961.0,1485.0
United Arab Emirates,1961.0,1.25390930414386
United Arab Emirates,1961.0,2.05824863174355
United Arab Emirates,1961.0,3.3268178264269
United Arab Emirates,1961.0,5.33131352619234
United Arab Emirates,1961.0,8.41575449569977
United Arab Emirates,1961.0,12.3754736320814
United Arab Emirates,1961.0,54.769608
United Arab Emirates,1961.0,55.611
United Arab Emirates,1961.0,374.258
United Arab Emirates,1961.0,190.4
United Arab Emirates,1961.0,179.5
United Arab Emirates,1961.0,726.0
United Arab Emirates,1961.0,102856.0
United Arab Emirates,1961.0,35133.0
United Arab Emirates,1961.0,86829.0
United Arab Emirates,1961.0,3.67819095238661
United Arab Emirates,1961.0,1.62138389366693
United Arab Emirates,1961.0,2.61532447224394
United Arab Emirates,1961.0,3.91335556789072
United Arab Emirates,1961.0,0.0362347723369254
United Arab Emirates,1961.0,34.3577428638096
United Arab Emirates,1961.0,30000.0
United Arab Emirates,1961.0,39.796
United Arab Emirates,1961.0,126.8
United Arab Emirates,1961.0,51.596
United Arab Emirates,1961.0,40.876918
United Arab Emirates,1961.0,21053.0
United Arab Emirates,1961.0,50694.0
United Arab Emirates,1961.0,11.5588350273651
United Arab Emirates,1961.0,28494.0
United Arab Emirates,1961.0,84199.0
United Arab Emirates,1961.0,5993579.86450195
United Arab Emirates,1961.0,1.64
United Arab Emirates,1961.0,540000.0
United Arab Emirates,1961.0,60.2073658832053
United Arab Emirates,1961.0,0.164115675638324
United Arab Emirates,1961.0,0.494074560342743
United Arab Emirates,1961.0,71020.0
United Arab Emirates,1961.0,170000000.0
United Arab Emirates,1961.0,78.0
United Arab Emirates,1961.0,0.0
United Arab Emirates,1961.0,98647.9
United Arab Emirates,1961.0,540000.021457672
United Arab Emirates,1961.0,540000.021457672
United Arab Emirates,1961.0,540000.021457672
United Arab Emirates,1961.0,5000.0
United Arab Emirates,1961.0,74.5394859753477
United Arab Emirates,1961.0,0.9408537024332
United Arab Emirates,1961.0,62.9245809448579
United Arab Emirates,1961.0,137989.0
United Arab Emirates,1961.0,138.5
United Arab Emirates,1961.0,48.999
United Arab Emirates,1961.0,41.1522673964034
United Arab Emirates,1961.0,36.7373486292386
United Arab Emirates,1961.0,11.8238146241463
United Arab Emirates,1961.0,55.6958561376075
United Arab Emirates,1961.0,61.0182695722123
United Arab Emirates,1961.0,11.0636999159267
United Arab Emirates,1961.0,5.98359994932569
United Arab Emirates,1961.0,2.73180619378318
United Arab Emirates,1961.0,1.35381036289719
United Arab Emirates,1961.0,0.760690552695528
United Arab Emirates,1961.0,1.70968224901819
United Arab Emirates,1961.0,13.295
United Arab Emirates,1961.0,0.15
United Arab Emirates,1961.0,155.111
United Arab Emirates,1961.0,1.043
United Arab Emirates,1961.0,4.94302750761822
United Arab Emirates,1961.0,51160.0
United Arab Emirates,1961.0,25.4605140246523
United Arab Emirates,1961.0,30000.0
United Arab Emirates,1961.0,3097.0
United Arab Emirates,1961.0,1612.0
United Arab Emirates,1961.0,0.582486317435496
United Arab Emirates,1961.0,62187.0
United Arab Emirates,1962.0,24.5248105091591
United Arab Emirates,1962.0,4.91872874289777
United Arab Emirates,1962.0,170000000.0
United Arab Emirates,1962.0,3107.0
United Arab Emirates,1962.0,1598.0
United Arab Emirates,1962.0,1.56510753043003
United Arab Emirates,1962.0,0.553444650820739
United Arab Emirates,1962.0,4.66
United Arab Emirates,1962.0,0.0
United Arab Emirates,1962.0,2.92875246409462
United Arab Emirates,1962.0,0.47272193179531
United Arab Emirates,1962.0,1.6417431417241
United Arab Emirates,1962.0,0.735466112528491
United Arab Emirates,1962.0,1.29141756741319
United Arab Emirates,1962.0,2.85047516985895
United Arab Emirates,1962.0,6.2764852118001
United Arab Emirates,1962.0,11.5982788352219
United Arab Emirates,1962.0,62.026547817808
United Arab Emirates,1962.0,55.9356231673628
United Arab Emirates,1962.0,10.9808572096894
United Arab Emirates,1962.0,35.8298952713424
United Arab Emirates,1962.0,41.0510734186285
United Arab Emirates,1962.0,49.97
United Arab Emirates,1962.0,131.2
United Arab Emirates,1962.0,12.713
United Arab Emirates,1962.0,155.129
United Arab Emirates,1962.0,1.76
United Arab Emirates,1962.0,71020.0
United Arab Emirates,1962.0,0.070402703463813
United Arab Emirates,1962.0,2080.0
United Arab Emirates,1962.0,3212.0
United Arab Emirates,1962.0,189.5
United Arab Emirates,1962.0,0.0
United Arab Emirates,1962.0,37216.0
United Arab Emirates,1962.0,0.0422416220782878
United Arab Emirates,1962.0,5000.0
United Arab Emirates,1962.0,75.4751894908409
United Arab Emirates,1962.0,1.1743036148119
United Arab Emirates,1962.0,63.41283365644
United Arab Emirates,1962.0,144946.0
United Arab Emirates,1962.0,57.7654190534453
United Arab Emirates,1962.0,0.160475224257326
United Arab Emirates,1962.0,8.57414932634378
United Arab Emirates,1962.0,89905.0
United Arab Emirates,1962.0,29664.0
United Arab Emirates,1962.0,11.1773191405108
United Arab Emirates,1962.0,51934.0
United Arab Emirates,1962.0,21770.0
United Arab Emirates,1962.0,42.142891
United Arab Emirates,1962.0,52.546
United Arab Emirates,1962.0,119.9
United Arab Emirates,1962.0,39.622
United Arab Emirates,1962.0,35000.0
United Arab Emirates,1962.0,34.0189034534452
United Arab Emirates,1962.0,0.0344956052598899
United Arab Emirates,1962.0,2.96662210169689
United Arab Emirates,1962.0,4597476.0055542
United Arab Emirates,1962.0,430000.0
United Arab Emirates,1962.0,56.605
United Arab Emirates,1962.0,365.85
United Arab Emirates,1962.0,179.5
United Arab Emirates,1962.0,169.1
United Arab Emirates,1962.0,720.0
United Arab Emirates,1962.0,109398.0
United Arab Emirates,1962.0,35548.0
United Arab Emirates,1962.0,91914.0
United Arab Emirates,1962.0,3.45587008508982
United Arab Emirates,1962.0,0.397876733639441
United Arab Emirates,1962.0,0.864580485183335
United Arab Emirates,1962.0,1509.0
United Arab Emirates,1962.0,1.19740154436514
United Arab Emirates,1962.0,2.01295456473982
United Arab Emirates,1962.0,3.34046745802023
United Arab Emirates,1962.0,5.4194205330794
United Arab Emirates,1962.0,36.5871663435601
United Arab Emirates,1962.0,61.2212891385351
United Arab Emirates,1962.0,0.273079873142975
United Arab Emirates,1962.0,2.14355691084956
United Arab Emirates,1962.0,3.01330341400866
United Arab Emirates,1962.0,1.07763192967377
United Arab Emirates,1962.0,1.83866528132123
United Arab Emirates,1962.0,4.38831740367407
United Arab Emirates,1962.0,8.60582389068101
United Arab Emirates,1962.0,13.8596195377226
United Arab Emirates,1962.0,65.5408015057472
United Arab Emirates,1962.0,13.7540866783804
United Arab Emirates,1962.0,9.4609664416387
United Arab Emirates,1962.0,32.8174553525287
United Arab Emirates,1962.0,12.3756317012006
United Arab Emirates,1962.0,56.092191
United Arab Emirates,1962.0,2.59751279899682
United Arab Emirates,1962.0,4.25313257215052
United Arab Emirates,1962.0,6.89307298492406
United Arab Emirates,1962.0,10.1807416346888
United Arab Emirates,1962.0,60241.0
United Arab Emirates,1962.0,11.0990637639893
United Arab Emirates,1962.0,11.8533324533532
United Arab Emirates,1962.0,30164.0
United Arab Emirates,1962.0,18.0204218247645
United Arab Emirates,1962.0,6.489
United Arab Emirates,1962.0,141.8
United Arab Emirates,1962.0,234.854
United Arab Emirates,1962.0,4597476.0055542
United Arab Emirates,1962.0,7.05
United Arab Emirates,1962.0,10000000.0
United Arab Emirates,1962.0,6.16626565031749
United Arab Emirates,1962.0,1.043
United Arab Emirates,1962.0,53032.0
United Arab Emirates,1962.0,430000.007152557
United Arab Emirates,1962.0,2.04091805125317
United Arab Emirates,1962.0,0.15
United Arab Emirates,1962.0,430000.007152557
United Arab Emirates,1962.0,0.0
United Arab Emirates,1962.0,98647.9
United Arab Emirates,1962.0,78.0
United Arab Emirates,1962.0,430000.007152557
United Arab Emirates,1962.0,430000.007152557
United Arab Emirates,1962.0,67984.0
United Arab Emirates,1962.0,35000.0
United Arab Emirates,1962.0,1034.8681577967
United Arab Emirates,1962.0,46.9029845597671
United Arab Emirates,1963.0,10.1527884273959
United Arab Emirates,1963.0,56.0294638559141
United Arab Emirates,1963.0,62.8574807339811
United Arab Emirates,1963.0,12.0975087612764
United Arab Emirates,1963.0,6.58858280885751
United Arab Emirates,1963.0,3.00070501901493
United Arab Emirates,1963.0,1.24587666798751
United Arab Emirates,1963.0,0.718913550259622
United Arab Emirates,1963.0,1.58603547738021
United Arab Emirates,1963.0,0.454402766556368
United Arab Emirates,1963.0,0.156956787995121
United Arab Emirates,1963.0,55.8321836197165
United Arab Emirates,1963.0,152211.0
United Arab Emirates,1963.0,63.8328624926089
United Arab Emirates,1963.0,1.37177895311189
United Arab Emirates,1963.0,76.3230038344243
United Arab Emirates,1963.0,985.474111595088
United Arab Emirates,1963.0,78.0
United Arab Emirates,1963.0,0.0
United Arab Emirates,1963.0,98647.9
United Arab Emirates,1963.0,389999.985694885
United Arab Emirates,1963.0,389999.985694885
United Arab Emirates,1963.0,389999.985694885
United Arab Emirates,1963.0,74453.0
United Arab Emirates,1963.0,35000.0
United Arab Emirates,1963.0,0.15
United Arab Emirates,1963.0,155.579
United Arab Emirates,1963.0,12.141
United Arab Emirates,1963.0,123.9
United Arab Emirates,1963.0,50.951
United Arab Emirates,1963.0,41.1077101933679
United Arab Emirates,1963.0,35.0947040621243
United Arab Emirates,1963.0,4.81
United Arab Emirates,1963.0,389999.985694885
United Arab Emirates,1963.0,48.9143360203927
United Arab Emirates,1963.0,2.14321317938609
United Arab Emirates,1963.0,2.92875246409462
United Arab Emirates,1963.0,0.0
United Arab Emirates,1963.0,2080.0
United Arab Emirates,1963.0,0.070402703463813
United Arab Emirates,1963.0,71020.0
United Arab Emirates,1963.0,1.89
United Arab Emirates,1963.0,390000.0
United Arab Emirates,1963.0,4119552.13546753
United Arab Emirates,1963.0,2.56223259616509
United Arab Emirates,1963.0,180000000.0
United Arab Emirates,1963.0,23.6769961655757
United Arab Emirates,1963.0,55050.0
United Arab Emirates,1963.0,4.8906456876335
United Arab Emirates,1963.0,1.042
United Arab Emirates,1963.0,0.523156011298716
United Arab Emirates,1963.0,3117.0
United Arab Emirates,1963.0,1576.0
United Arab Emirates,1963.0,1.50952307426817
United Arab Emirates,1963.0,2.58217454882335
United Arab Emirates,1963.0,4.28333984250824
United Arab Emirates,1963.0,7.0299089018265
United Arab Emirates,1963.0,10.2069917621093
United Arab Emirates,1963.0,64832.0
United Arab Emirates,1963.0,10.8482211787359
United Arab Emirates,1963.0,11.7446708022634
United Arab Emirates,1963.0,30788.0
United Arab Emirates,1963.0,18.6301668468043
United Arab Emirates,1963.0,6.495
United Arab Emirates,1963.0,0.384192695797495
United Arab Emirates,1963.0,3.25787031230403
United Arab Emirates,1963.0,97161.0
United Arab Emirates,1963.0,36039.0
United Arab Emirates,1963.0,116172.0
United Arab Emirates,1963.0,712.0
United Arab Emirates,1963.0,158.8
United Arab Emirates,1963.0,168.9
United Arab Emirates,1963.0,357.53
United Arab Emirates,1963.0,57.624
United Arab Emirates,1963.0,57.468683
United Arab Emirates,1963.0,12.4206853608205
United Arab Emirates,1963.0,31.6877743527462
United Arab Emirates,1963.0,9.11430056452982
United Arab Emirates,1963.0,13.1874578661081
United Arab Emirates,1963.0,66.7261901698736
United Arab Emirates,1963.0,13.9717271936641
United Arab Emirates,1963.0,9.07313157095733
United Arab Emirates,1963.0,4.63254100174454
United Arab Emirates,1963.0,1.89428831675424
United Arab Emirates,1963.0,1.03437096350883
United Arab Emirates,1963.0,2.86282595071798
United Arab Emirates,1963.0,2.04781520389459
United Arab Emirates,1963.0,0.2557623725691
United Arab Emirates,1963.0,59.0900539320206
United Arab Emirates,1963.0,36.1671375073911
United Arab Emirates,1963.0,6.00792432408123
United Arab Emirates,1963.0,35000000.0
United Arab Emirates,1963.0,7.23
United Arab Emirates,1963.0,4119552.13546753
United Arab Emirates,1963.0,228.179
United Arab Emirates,1963.0,134.1
United Arab Emirates,1963.0,5000.0
United Arab Emirates,1963.0,0.0422416220782878
United Arab Emirates,1963.0,39192.0
United Arab Emirates,1963.0,0.0
United Arab Emirates,1963.0,178.6
United Arab Emirates,1963.0,3264.0
United Arab Emirates,1963.0,10.7328725443002
United Arab Emirates,1963.0,30844.0
United Arab Emirates,1963.0,95676.0
United Arab Emirates,1963.0,8.72380813979891
United Arab Emirates,1963.0,5.51584454273803
United Arab Emirates,1963.0,3.35510122523864
United Arab Emirates,1963.0,1.97455063986703
United Arab Emirates,1963.0,0.0328491370531696
United Arab Emirates,1963.0,33.7361842784836
United Arab Emirates,1963.0,35000.0
United Arab Emirates,1963.0,39.447
United Arab Emirates,1963.0,113.0
United Arab Emirates,1963.0,53.509
United Arab Emirates,1963.0,43.422971
United Arab Emirates,1963.0,22630.0
United Arab Emirates,1963.0,53418.0
United Arab Emirates,1963.0,1541.0
United Arab Emirates,1963.0,0.816523010690184
United Arab Emirates,1963.0,1.13895423293158
United Arab Emirates,1964.0,57170.0
United Arab Emirates,1964.0,1.042
United Arab Emirates,1964.0,0.487143606786776
United Arab Emirates,1964.0,3125.0
United Arab Emirates,1964.0,4.7979243899545
United Arab Emirates,1964.0,2.58002448836803
United Arab Emirates,1964.0,1.46230540493266
United Arab Emirates,1964.0,2.01
United Arab Emirates,1964.0,71020.0
United Arab Emirates,1964.0,0.070402703463813
United Arab Emirates,1964.0,2080.0
United Arab Emirates,1964.0,3126.0
United Arab Emirates,1964.0,167.8
United Arab Emirates,1964.0,0.0
United Arab Emirates,1964.0,41277.0
United Arab Emirates,1964.0,0.0422416220782878
United Arab Emirates,1964.0,5000.0
United Arab Emirates,1964.0,77.0988222940425
United Arab Emirates,1964.0,1.46538911982363
United Arab Emirates,1964.0,64.1998346817624
United Arab Emirates,1964.0,159692.0
United Arab Emirates,1964.0,54.2927252301082
United Arab Emirates,1964.0,0.151674762490002
United Arab Emirates,1964.0,8.86478922511807
United Arab Emirates,1964.0,101474.0
United Arab Emirates,1964.0,32036.0
United Arab Emirates,1964.0,10.2370124191009
United Arab Emirates,1964.0,55093.0
United Arab Emirates,1964.0,23589.0
United Arab Emirates,1964.0,44.76193
United Arab Emirates,1964.0,54.495
United Arab Emirates,1964.0,106.1
United Arab Emirates,1964.0,39.166
United Arab Emirates,1964.0,35000.0
United Arab Emirates,1964.0,33.5255561602001
United Arab Emirates,1964.0,0.0313102722741277
United Arab Emirates,1964.0,3.6319914792895
United Arab Emirates,1964.0,5352221.01211548
United Arab Emirates,1964.0,330000.0
United Arab Emirates,1964.0,348.914
United Arab Emirates,1964.0,158.3
United Arab Emirates,1964.0,148.4
United Arab Emirates,1964.0,701.0
United Arab Emirates,1964.0,250000.0
